  Аfghan   Afghan
  Аlbanian   Albanian
  Аlgerian   Algerian
  Аmerican   American
  Аndorran   Andorran
  Аngolan   Angolan
  Аntiguans   Antiguans
  Аrgentinean   Argentinean
  Аrmenian   Armenian
  Аustralian   Australian
  Аustrian   Austrian
  Аzerbaijani   Azerbaijani
  Bahamian   Bahamian
  Bahraini   Bahraini
  Bangladeshi   Bangladeshi
  Barbadian   Barbadian
  Barbudans   Barbudans
  Batswana   Batswana
  Belarusian   Belarusian
  Belgian   Belgian
  Belizean   Belizean
  Beninese   Beninese
  Bhutanese   Bhutanese
  Bolivian   Bolivian
  Bosnian   Bosnian
  Brazilian   Brazilian
  British   British
  Bruneian   Bruneian
  Bulgarian   Bulgarian
  Burkinabe   Burkinabe
  Burmese   Burmese
  Burundian   Burundian
  Cambodian   Cambodian
  Cameroonian   Cameroonian
  Canadian   Canadian
  Chadian   Chadian
  Chilean   Chilean
  Chinese   Chinese
  Colombian   Colombian
  Comoran   Comoran
  Congolese   Congolese
  Croatian   Croatian
  Cuban   Cuban
  Cypriot   Cypriot
  Czech   Czech
  Danish   Danish
  Djibouti   Djibouti
  Dominican   Dominican
  Dutch   Dutch
  Ecuadorean   Ecuadorean
  Egyptian   Egyptian
  Emirian   Emirian
  Eritrean   Eritrean
  Estonian   Estonian
  Ethiopian   Ethiopian
  Fijian   Fijian
  Filipino   Filipino
  Finnish   Finnish
  French   French
  Gabonese   Gabonese
  Gambian   Gambian
  Georgian   Georgian
  German   German
  Ghanaian   Ghanaian
  Greek   Greek
  Grenadian   Grenadian
  Guatemalan   Guatemalan
  Guinean   Guinean
  Guyanese   Guyanese
  Haitian   Haitian
  Herzegovinian   Herzegovinian
  Honduran   Honduran
  Hungarian   Hungarian
  Icelander   Icelander
  Indian   Indian
  Indonesian   Indonesian
  Iranian   Iranian
  Iraqi   Iraqi
  Irish   Irish
  Israeli   Israeli
  Italian   Italian
  Ivorian   Ivorian
  Jamaican   Jamaican
  Japanese   Japanese
  Jordanian   Jordanian
  Kazakhstani   Kazakhstani
  Kenyan   Kenyan
  Kuwaiti   Kuwaiti
  Kyrgyz   Kyrgyz
  Laotian   Laotian
  Latvian   Latvian
  Lebanese   Lebanese
  Liberian   Liberian
  Libyan   Libyan
  Liechtensteiner   Liechtensteiner
  Lithuanian   Lithuanian
  Luxembourger   Luxembourger
  Macedonian   Macedonian
  Malagasy   Malagasy
  Malawian   Malawian
  Malaysian   Malaysian
  Maldivan   Maldivan
  Malian   Malian
  Maltese   Maltese
  Marshallese   Marshallese
  Mauritanian   Mauritanian
  Mauritian   Mauritian
  Mexican   Mexican
  Micronesian   Micronesian
  Moldovan   Moldovan
  Monacan   Monacan
  Mongolian   Mongolian
  Moroccan   Moroccan
  Mosotho   Mosotho
  Motswana   Motswana
  Mozambican   Mozambican
  Namibian   Namibian
  Nauruan   Nauruan
  Nepalese   Nepalese
  Ni-vanuatu   Ni-Vanuatu
  Nicaraguan   Nicaraguan
  Nigerien   Nigerien
  Norwegian   Norwegian
  Omani   Omani
  Pakistani   Pakistani
  Palauan   Palauan
  Panamanian   Panamanian
  Paraguayan   Paraguayan
  Peruvian   Peruvian
  Polish   Polish
  Portuguese   Portuguese
  Qatari   Qatari
  Romanian   Romanian
  Russian   Russian
  Rwandan   Rwandan
  Salvadoran   Salvadoran
  Samoan   Samoan
  Saudi   Saudi
  Scottish   Scottish
  Senegalese   Senegalese
  Serbian   Serbian
  Seychellois   Seychellois
  Singaporean   Singaporean
  Slovakian   Slovakian
  Slovenian   Slovenian
  Somali   Somali
  Spanish   Spanish
  Sudanese   Sudanese
  Surinamer   Surinamer
  Swazi   Swazi
  Swedish   Swedish
  Swiss   Swiss
  Syrian   Syrian
  Taiwanese   Taiwanese
  Tajik   Tajik
  Tanzanian   Tanzanian
  Thai   Thai
  Togolese   Togolese
  Tongan   Tongan
  Tunisian   Tunisian
  Turkish   Turkish
  Tuvaluan   Tuvaluan
  Ugandan   Ugandan
  Ukrainian   Ukrainian
  Uruguayan   Uruguayan
  Uzbekistani   Uzbekistani
  Venezuelan   Venezuelan
  Vietnamese   Vietnamese
  Welsh   Welsh
  Yemenite   Yemenite
  Zambian   Zambian
  Zimbabwean   Zimbabwean

